claim_number,policy_number,policyholder_id,vehicle_vin,claim_type,claim_status,severity,incident_date,incident_location,incident_description,number_of_vehicles_involved,claimed_amount,approved_amount,paid_amount,payment_method,incident_evidence,fraud_score,is_fraudulent,fraud_reason,submitted_date,reviewed_date,closed_date
CLM-467806709276,POL-292693637130,ZW-PH-6851319995,3RRRLA2G1S6Y6NBH5,VANDALISM,REJECTED,MODERATE,2025-05-01 19:43:03,"Township Road, Mount Darwin, MASHONALAND_CENTRAL",Tyres slashed in Avenues apartment block parking,1,1397.31,0.00,0.00,CASH,,0.0703,False,,2025-05-03 13:43:03,2025-05-24 13:43:03,2025-05-24 13:43:03
CLM-399069565856,POL-789926345265,ZW-PH-5507000352,8JHKMRFRMTG2C5NCZ,ACCIDENT,CLOSED,MINOR,2026-01-13 22:31:48,"Highway A5, Rusape, MANICALAND",Single vehicle accident — lost control on wet road near Mutare,2,1378.48,1186.87128,1186.87128,SWIPE,,0.0078,False,,2026-01-16 09:31:48,2026-02-05 09:31:48,2026-02-14 09:31:48
CLM-070671699681,POL-408082008270,ZW-PH-4489103972,X8SSLAH7SEM6RYAEY,ACCIDENT,APPROVED,MAJOR,2026-02-03 13:31:08,"Highway A2, Bulawayo, BULAWAYO",Collision in Westgate shopping mall parking area while reversing,1,7148.85,6477.572985,0.00,SWIPE,,0.2989,False,Multiple claims history,2026-02-05 17:31:08,2026-02-17 17:31:08,
CLM-379384989963,POL-408082008270,ZW-PH-4489103972,X8SSLAH7SEM6RYAEY,ACCIDENT,PAID,MINOR,2026-02-08 02:00:37,"Highway A1, Bulawayo, BULAWAYO",T-bone collision at four-way stop near Chitungwiza,1,854.63,738.143931,738.143931,BANK_TRANSFER,,0.334,False,Multiple claims history,2026-02-10 01:00:37,2026-02-28 01:00:37,
CLM-307287822662,POL-408082008270,ZW-PH-4489103972,X8SSLAH7SEM6RYAEY,ACCIDENT,CLOSED,MINOR,2025-11-11 02:00:00,"Shopping Center Parking, Bulawayo, BULAWAYO",Single vehicle accident — lost control on wet road near Mutare,2,1260.19,482.439906,482.439906,CASH,,0.7039,True,Claimed amount grossly inflated beyond vehicle proportion; Claim filed within first 14 days of policy inception; Multiple claims history,2025-11-11 22:00:00,2026-03-12 10:56:12,2026-03-19 10:56:12
CLM-974468203051,POL-867693727750,ZW-PH-1938826320,50PLZP0UW1S7F1TFS,THEFT,SUBMITTED,MINOR,2026-04-23 14:54:32,"Parking Lot, Plumtree, MATABELELAND_SOUTH",Catalytic converter stolen while parked near First Street Mall,1,1462.07,0.00,0.00,SWIPE,,0.276,False,,2026-04-26 00:54:32,,
CLM-436718164893,POL-464224997438,ZW-PH-3442149696,UZGLET9AXKC2HMEK4,ACCIDENT,PAID,MINOR,2026-01-23 03:20:59,"Highway A1, Ruwa, MASHONALAND_EAST",Collision in Westgate shopping mall parking area while reversing,2,396.53,388.718359,388.718359,ECOCASH,,0.1995,False,,2026-01-23 14:20:59,2026-02-10 14:20:59,
CLM-774170216222,POL-464224997438,ZW-PH-3442149696,UZGLET9AXKC2HMEK4,VANDALISM,UNDER_REVIEW,MODERATE,2026-04-13 02:13:36,"Township Road, Ruwa, MASHONALAND_EAST",Tyres slashed in Avenues apartment block parking,1,742.57,0.00,0.00,CASH,,0.1036,False,,2026-04-13 20:13:36,,
CLM-567938700259,POL-139383500963,ZW-PH-2434083790,2VXN0AE9KX51C4JJH,VANDALISM,SUBMITTED,MINOR,2026-04-22 08:18:15,"Victoria Falls, Hwange, MATABELELAND_NORTH",Aerial snapped and roof aerial mount vandalised,1,233.59,0.00,0.00,SWIPE,,0.22870000000000001,False,Multiple claims history,2026-04-22 10:18:15,,
CLM-315505304932,POL-139383500963,ZW-PH-2434083790,2VXN0AE9KX51C4JJH,THEFT,UNDER_REVIEW,MINOR,2026-04-10 11:24:41,"Main Street, Hwange, MATABELELAND_NORTH",Vehicle stolen and recovered badly damaged near Highfield,1,423.68,0.00,0.00,BANK_TRANSFER,,0.2659,False,Multiple claims history,2026-04-11 05:24:41,,
CLM-877484754914,POL-139383500963,ZW-PH-2434083790,2VXN0AE9KX51C4JJH,ACCIDENT,APPROVED,TOTAL_LOSS,2026-03-24 10:12:42,"Rural Road, Hwange, MATABELELAND_NORTH",Backed into another vehicle at Borrowdale Racecourse parking,3,4162.25,3236.976648,0.00,CASH,,0.7701,True,Claimed amount grossly inflated beyond vehicle proportion; Claim exceeds market value for 13-year-old vehicle; Multiple claims history,2026-03-26 23:12:42,2026-04-15 23:12:42,
CLM-642211424476,POL-139383500963,ZW-PH-2434083790,2VXN0AE9KX51C4JJH,ACCIDENT,CLOSED,MINOR,2026-03-22 17:22:34,"Chirundu Border Post, Hwange, MATABELELAND_NORTH",Side-swipe on Bulawayo Road near Gweru tollgate,2,301.59,280.78029,280.78029,BANK_TRANSFER,,0.1286,False,Multiple claims history,2026-03-23 10:22:34,2026-04-05 10:22:34,2026-04-19 10:22:34
CLM-011616334970,POL-867502097367,ZW-PH-6368750560,MJG1D7MVX1YECZW8W,ACCIDENT,CLOSED,MODERATE,2025-10-30 05:21:39,"Tollgate, Gokwe, MIDLANDS",Hit while parked at Sam Levy Shopping Centre,1,310.28,293.773104,293.773104,CASH,,0.2015,False,,2025-10-30 18:21:39,2025-11-08 18:21:39,2025-11-23 18:21:39
CLM-433398485180,POL-991644132577,ZW-PH-0296710243,XHYWZ3PRA59F97LT9,THEFT,PAID,MAJOR,2025-08-03 09:46:05,"Simon Mazorodze Road, Bulawayo, BULAWAYO",Vehicle stolen from Bulawayo Show Grounds during public event,1,4197.27,3864.006762,3864.006762,ECOCASH,,0.1995,False,,2025-08-03 16:46:05,2025-08-12 16:46:05,
CLM-672493821103,POL-014629055701,ZW-PH-0045227746,08BSHS1FNVVVZUGCJ,ACCIDENT,PAID,MINOR,2025-06-09 10:42:12,"Farm Road, Hwange, MATABELELAND_NORTH",Backed into another vehicle at Borrowdale Racecourse parking,2,672.27,601.883331,601.883331,CASH,,0.0635,False,,2025-06-09 22:42:12,2025-06-27 22:42:12,
CLM-646384847396,POL-015221026640,ZW-PH-1550994184,RD6L8F1BPM17PCE3P,VANDALISM,PAID,MINOR,2025-03-06 06:30:22,"Highway A2, Makuti, MASHONALAND_WEST",Paint scorched with chemical substance in Southerton industrial,1,364.57,363.148177,363.148177,BANK_TRANSFER,,0.1977,False,,2025-03-06 13:30:22,2025-03-11 13:30:22,
CLM-657163315001,POL-495264872476,ZW-PH-7077836894,SJH039NLKLNF3ATYY,ACCIDENT,SUBMITTED,MODERATE,2026-04-23 08:47:26,"Beitbridge Border Post, Kariba, MASHONALAND_WEST",Hit while parked at Sam Levy Shopping Centre,1,8330.14,0.00,0.00,BANK_TRANSFER,,0.377,False,,2026-04-24 07:47:26,,
CLM-950134615481,POL-921703307608,ZW-PH-1203034246,RFATGK784NC8MS5T4,ACCIDENT,PAID,MODERATE,2025-03-05 07:55:52,"Residential Area, Plumtree, MATABELELAND_SOUTH",Backed into another vehicle at Borrowdale Racecourse parking,2,2642.46,2574.813024,2574.813024,SWIPE,,0.0062,False,,2025-03-07 23:55:52,2025-03-16 23:55:52,
CLM-860891163018,POL-346514299324,ZW-PH-0879978972,7ZVBF6XYSFLDY0ELM,ACCIDENT,CLOSED,MAJOR,2025-03-12 15:31:15,"Township Road, Victoria Falls, MATABELELAND_NORTH",Single vehicle accident — lost control on wet road near Mutare,2,9008.89,7971.065872,7971.065872,CASH,,0.2182,False,,2025-03-13 16:31:15,2025-03-26 16:31:15,2025-04-02 16:31:15
CLM-162849694969,POL-031326109737,ZW-PH-4490349806,HD68RP56SZ7PTTD93,ACCIDENT,UNDER_REVIEW,MODERATE,2026-04-15 01:44:43,"Parking Lot, Mount Darwin, MASHONALAND_CENTRAL",Rear-ended at traffic light during rush hour on Samora Machel Avenue,2,3859.33,0.00,0.00,ECOCASH,,0.0722,False,,2026-04-15 09:44:43,,
CLM-200151958404,POL-031326109737,ZW-PH-4490349806,HD68RP56SZ7PTTD93,ACCIDENT,SUBMITTED,MODERATE,2026-04-21 11:54:34,"Airport Road, Mount Darwin, MASHONALAND_CENTRAL",Hit while parked at Sam Levy Shopping Centre,2,5082.17,0.00,0.00,SWIPE,,0.0518,False,,2026-04-23 22:54:34,,
CLM-704133592582,POL-971762988898,ZW-PH-4234404631,UP9SDUPU10YKRKP91,ACCIDENT,PAID,MODERATE,2024-09-18 23:00:00,"Tollgate, Mount Darwin, MASHONALAND_CENTRAL",Side collision at intersection — other driver ran red light in Harare CBD,2,2438.7,499.772592,499.772592,CASH,,0.6695,False,Claim filed within first 14 days of policy inception; Claim exceeds market value for 15-year-old vehicle,2024-09-19 13:00:00,2024-12-09 13:45:43,
CLM-883265388851,POL-706746874024,ZW-PH-9821733085,MRS30W0SRBLYMG9CG,ACCIDENT,PAID,MINOR,2024-12-02 09:00:00,"Farm Road, Makuti, MASHONALAND_WEST",Rear-ended at traffic light during rush hour on Samora Machel Avenue,2,1461.64,514.757602,514.757602,BANK_TRANSFER,,0.6975,False,Claimed amount grossly inflated beyond vehicle proportion; Claim filed within first 14 days of policy inception,2024-12-02 14:00:00,2025-06-24 11:13:08,
CLM-743302787245,POL-646181757406,ZW-PH-2977214415,5DSXML7P721HLTEFG,ACCIDENT,PAID,MINOR,2025-09-24 19:55:00,"Harare CBD, Rusape, MANICALAND",Multi-vehicle collision on A1 highway due to sudden braking,3,616.32,594.872064,594.872064,CASH,,0.207,False,,2025-09-25 07:55:00,2025-10-02 07:55:00,
CLM-904679532626,POL-935616412566,ZW-PH-5937882116,RNBHFDVN4X3B1PMPV,ACCIDENT,UNDER_REVIEW,MODERATE,2026-04-15 09:02:35,"Simon Mazorodze Road, Bulawayo, BULAWAYO","Hit and run incident on Simon Mazorodze Road, other driver fled",3,1313.69,0.00,0.00,ECOCASH,,0.1136,False,,2026-04-16 08:02:35,,
CLM-512815922303,POL-935616412566,ZW-PH-5937882116,RNBHFDVN4X3B1PMPV,ACCIDENT,SUBMITTED,MODERATE,2026-04-22 15:57:30,"Highway A5, Bulawayo, BULAWAYO",Collision in Westgate shopping mall parking area while reversing,4,1956.81,0.00,0.00,CASH,,0.0376,False,,2026-04-23 20:57:30,,
CLM-035753058404,POL-955474458054,ZW-PH-9516594889,T1K8PJG4D8SENWFWA,ACCIDENT,SUBMITTED,MODERATE,2026-04-14 00:20:58,"Highway A5, Marondera, MASHONALAND_EAST",Backed into another vehicle at Borrowdale Racecourse parking,3,2081.17,0.00,0.00,BANK_TRANSFER,,0.1843,False,,2026-04-14 02:20:58,,
CLM-620281394104,POL-901559633010,ZW-PH-8617400285,SFJ7NU495RAWH9KT1,THEFT,PAID,MAJOR,2024-07-27 10:14:23,"Robert Mugabe Road, Victoria Falls, MATABELELAND_NORTH","Car broken into at Avondale flea market, laptop and handbag stolen",1,4987.13,4910.328198,4910.328198,SWIPE,,0.1292,False,,2024-07-29 20:14:23,2024-08-15 20:14:23,
CLM-506465170763,POL-166850802008,ZW-PH-2073767730,X12815TELZF7C94XD,THEFT,PAID,MINOR,2025-11-17 18:42:34,"Victoria Falls, Binga, MATABELELAND_NORTH",Vehicle stolen from residential driveway in Borrowdale overnight,1,1042.21,898.906125,898.906125,SWIPE,,0.029,False,,2025-11-17 21:42:34,2025-12-04 21:42:34,
CLM-396881900518,POL-438229947532,ZW-PH-6372044912,4GMJNHE00F6DLMEBD,ACCIDENT,CLOSED,MINOR,2026-01-21 19:32:33,"Harare CBD, Epworth, HARARE",Side collision at intersection — other driver ran red light in Harare CBD,2,3111.67,2895.097768,2895.097768,BANK_TRANSFER,,0.2354,False,,2026-01-22 23:32:33,2026-02-02 23:32:33,2026-02-11 23:32:33
CLM-841868608506,POL-527299009428,ZW-PH-4013329015,YT929S1P5MX1C8N4W,ACCIDENT,PAID,MODERATE,2025-05-06 04:18:07,"Bulawayo Road, Harare, HARARE",Collision in Westgate shopping mall parking area while reversing,2,338.68,310.163144,310.163144,CASH,,0.2324,False,,2025-05-07 19:18:07,2025-05-22 19:18:07,
CLM-583932254456,POL-527299009428,ZW-PH-4013329015,YT929S1P5MX1C8N4W,OTHER,PAID,MINOR,2025-09-06 02:36:06,"Airport Road, Harare, HARARE",Front suspension damaged by large pothole on Julius Nyerere Way,1,287.18,245.82608,245.82608,ECOCASH,,0.0544,False,,2025-09-06 09:36:06,2025-09-14 09:36:06,
CLM-741964958483,POL-138907805174,ZW-PH-0909672825,EJP2CVSEMZKRG4X7C,ACCIDENT,APPROVED,MINOR,2025-07-03 23:17:59,"Highway A5, Kwekwe, MIDLANDS",Hit while parked at Sam Levy Shopping Centre,2,3772.99,3274.578021,0.00,SWIPE,,0.2084,False,,2025-07-05 23:17:59,2025-07-13 23:17:59,
CLM-628519922904,POL-725133196471,ZW-PH-9934999805,J0CBFFBEL1GAFZB2D,ACCIDENT,PAID,MODERATE,2024-11-23 17:00:00,"Robert Mugabe Road, Victoria Falls, MATABELELAND_NORTH",Side collision at intersection — other driver ran red light in Harare CBD,1,1990.14,1734.008982,1734.008982,CASH,,0.531,False,Claim filed within first 14 days of policy inception,2024-11-24 04:00:00,2025-03-22 19:40:26,
CLM-196909668361,POL-039671595304,ZW-PH-7937066013,7KENG4J6XUL1PC7GK,ACCIDENT,PAID,MODERATE,2025-08-27 01:46:13,"Bulawayo Road, Triangle, MASVINGO",Single vehicle accident — lost control on wet road near Mutare,2,629.27,603.218222,603.218222,CASH,,0.1537,False,,2025-08-28 17:46:13,2025-09-17 17:46:13,
CLM-290241117233,POL-039671595304,ZW-PH-7937066013,7KENG4J6XUL1PC7GK,ACCIDENT,PAID,MINOR,2025-08-03 03:14:27,"Samora Machel Avenue, Triangle, MASVINGO",Side collision at intersection — other driver ran red light in Harare CBD,4,605.4,593.83686,593.83686,ECOCASH,,0.1294,False,,2025-08-04 18:14:27,2025-08-10 18:14:27,
